case,minlp_solve_time
nomination_freezing_1190,0.05
nomination_freezing_2405,0.02
nomination_freezing_3362,0.02
nomination_freezing_339,0.02
nomination_freezing_3606,0.04
nomination_freezing_382,0.02
nomination_freezing_4091,0.02
