case,minlp_time,misoc_time,lp_time,lp_gap,misoc_gap
2011-11-01,0.07,0.08,0.03,0.0,0.0
2011-11-02,0.05,0.08,0.03,0.0,0.0
2011-11-03,0.05,0.02,0.02,0.0,0.0
2011-11-04,0.05,0.02,0.03,0.0,0.0
2011-11-05,0.05,0.02,0.03,0.0,0.0
2011-11-06,0.05,0.07,0.03,0.0,0.0
2011-11-07,0.06,0.08,0.03,0.0,0.0
2011-11-08,0.08,0.37,0.03,0.0,0.0
2011-11-09,0.05,0.02,0.03,0.0,0.0
2011-11-10,0.05,0.02,0.03,0.0,0.0
2011-11-11,0.05,0.02,0.02,0.0,0.0
2011-11-12,0.05,0.02,0.03,0.0,0.0
2011-11-13,0.05,0.02,0.03,0.0,0.0
2011-11-14,0.05,0.02,0.03,0.0,0.0
2011-11-15,0.05,0.02,0.02,0.0,0.0
2011-11-16,0.05,0.02,0.03,0.0,0.0
2011-11-17,0.05,0.02,0.02,0.0,0.0
2011-11-18,0.05,0.02,0.02,0.0,0.0
2011-11-19,0.05,0.03,0.03,0.0,0.0
2011-11-20,0.05,0.03,0.03,0.0,0.0
2011-11-21,0.05,0.02,0.03,0.0,0.0
2011-11-22,0.05,0.02,0.02,0.0,0.0
2011-11-23,0.05,0.02,0.03,0.0,0.0
2011-11-24,0.05,0.02,0.02,0.0,0.0
2011-11-25,0.05,0.02,0.03,0.0,0.0
2011-11-26,0.05,0.02,0.03,0.0,0.0
2011-11-27,0.05,0.02,0.03,0.0,0.0
2011-11-28,0.05,0.02,0.03,0.0,0.0
2011-11-29,0.04,0.02,0.03,0.0,0.0
2011-11-30,0.05,0.02,0.02,0.0,0.0
2011-12-01,0.05,0.02,0.02,0.0,0.0
2011-12-02,0.05,0.02,0.03,0.0,0.0
2011-12-03,0.05,0.02,0.02,0.0,0.0
2011-12-04,0.05,0.02,0.02,0.0,0.0
2011-12-05,0.05,0.03,0.03,0.0,0.0
2011-12-06,0.05,0.02,0.03,0.0,0.0
2011-12-07,0.05,0.02,0.03,0.0,0.0
2011-12-08,0.05,0.02,0.03,0.0,0.0
2011-12-09,0.05,0.02,0.02,0.0,0.0
2011-12-10,0.05,0.02,0.03,0.0,0.0
2011-12-11,0.05,0.02,0.02,0.0,0.0
2011-12-12,0.05,0.02,0.03,0.0,0.0
