case,minlp_time,misoc_time,lp_time
nomination_cold_1697,1000.01,1001.26,3.5
nomination_cold_1759,1000.0,11.3,2.79
nomination_cold_1790,1000.0,7.99,2.79
nomination_cold_1799,1000.02,7.55,2.87
nomination_cold_1823,1000.0,7.05,2.72
nomination_cold_1847,1000.01,55.0,2.71
nomination_cold_1863,1000.0,6.71,3.03
nomination_cold_1869,1000.0,10.91,2.99
nomination_cold_1872,1000.01,8.48,2.94
nomination_cold_1887,1000.0,7.79,2.98
nomination_cold_1888,1000.0,33.47,2.87
nomination_cold_1897,1000.0,8.84,2.73
nomination_cold_1909,1000.0,8.34,2.87
nomination_cold_1912,1000.01,9.87,2.78
nomination_cold_1913,1000.01,12.12,3.05
nomination_cold_1923,1000.0,73.54,2.63
nomination_cold_1939,1000.0,10.58,2.87
nomination_cold_1971,1000.0,12.25,2.8
nomination_cold_1991,1000.0,22.27,2.63
nomination_cold_1994,1000.0,7.41,2.68
nomination_cold_2001,1000.0,12.9,3.22
nomination_cold_2005,1000.0,27.67,3.3
nomination_cold_2013,1000.0,10.0,2.66
nomination_cold_2014,1000.0,9.19,2.73
nomination_cold_2019,1000.01,9.75,2.73
nomination_cold_2027,1000.0,9.62,2.7
nomination_cold_2041,1000.0,9.47,2.9
nomination_cold_2043,1000.0,7.36,2.8
nomination_cold_2066,1000.0,7.06,2.84
nomination_cold_2074,1000.0,7.23,2.93
nomination_cold_2076,1000.0,13.02,2.86
nomination_cold_2087,1000.0,7.49,2.79
nomination_cold_2114,1000.0,13.8,2.81
nomination_cold_2117,1000.0,10.77,2.62
nomination_cold_2124,1000.0,7.38,2.7
nomination_cold_2137,1000.0,37.39,2.78
nomination_cold_2166,1000.0,8.62,2.86
nomination_cold_2167,1000.0,7.79,2.59
nomination_cold_2175,1000.0,8.71,3.03
nomination_cold_2186,1000.0,32.29,2.77
nomination_cold_2200,1000.0,29.09,2.79
nomination_cold_2204,1000.0,13.0,2.67
nomination_cold_2209,1000.0,7.22,2.77
nomination_cold_2211,1000.0,7.95,2.86
nomination_cold_2273,1000.0,25.15,3.08
nomination_cold_2278,1000.0,17.43,2.63
nomination_cold_2282,1000.01,22.95,2.62
nomination_cold_2294,1000.0,6.97,2.7
nomination_cold_2303,1000.01,33.67,2.68
nomination_cold_2338,1000.01,7.04,2.76
nomination_cold_2346,1000.0,46.67,3.11
nomination_cold_2348,1000.0,13.3,2.66
nomination_cold_2350,1000.0,7.76,2.54
nomination_cold_2371,1000.0,7.21,2.59
nomination_cold_2376,1000.0,9.77,2.73
nomination_cold_2381,1000.0,11.83,2.85
nomination_cold_2391,1000.0,7.8,2.97
nomination_cold_2394,1000.0,27.26,2.59
nomination_cold_2403,1000.0,28.91,3.04
nomination_cold_2412,1000.0,41.74,2.65
nomination_cold_2418,1000.0,8.97,2.79
nomination_cold_2427,1000.0,7.34,2.61
nomination_cold_2434,1000.0,7.62,2.87
nomination_cold_2436,1000.0,15.16,2.72
nomination_cold_2439,1000.0,12.48,2.72
nomination_cold_2447,1000.0,1002.33,2.6
nomination_cold_2450,1000.0,7.09,2.59
nomination_cold_2478,1000.0,48.81,2.69
nomination_cold_2493,1000.0,9.23,2.81
nomination_cold_2527,1000.0,33.51,3.52
nomination_cold_2548,1000.0,10.3,2.88
nomination_cold_2555,1000.01,7.48,2.64
nomination_cold_2561,1000.0,49.46,2.75
nomination_cold_2567,1000.0,11.62,2.73
nomination_cold_2573,1000.0,7.3,2.77
nomination_cold_2589,1000.18,9.72,2.91
nomination_cold_2598,1000.0,7.08,2.93
nomination_cold_2640,1000.01,33.47,2.88
nomination_cold_2669,1000.0,7.65,2.66
nomination_cold_2672,1000.2,12.75,2.77
nomination_cold_2697,1000.0,7.65,2.64
nomination_cold_2698,1000.0,13.66,2.88
nomination_cold_2699,1000.0,7.45,2.68
nomination_cold_2726,1000.24,9.06,2.57
nomination_cold_2733,1000.0,39.53,2.6
nomination_cold_2771,1000.0,42.41,2.67
nomination_cold_2780,1000.0,11.87,3.09
nomination_cold_2782,1000.0,12.35,3.06
