case,minlp_time,misoc_time,lp_time,lp_gap,misoc_gap
nomination_cold_0004,155.47,7.21,3.18,0.0,0.0
nomination_cold_0013,235.05,10.41,3.13,0.0,0.0
nomination_cold_0017,236.35,10.14,2.78,0.0,0.0
nomination_cold_0019,705.01,6.96,2.97,0.0,0.0
nomination_cold_0028,342.48,41.68,2.8,0.0,0.0
nomination_cold_0031,322.16,7.08,2.91,0.0,0.0
nomination_cold_0048,301.78,8.19,2.86,0.0,0.0
nomination_cold_0050,320.54,7.85,2.64,0.0,0.0
nomination_cold_0068,139.66,11.28,2.83,0.0,0.0
nomination_cold_0076,166.34,10.05,3.28,0.0,0.0
nomination_cold_0089,367.27,14.81,2.97,0.0,0.0
nomination_cold_0092,125.92,12.34,2.7,0.0,0.0
nomination_cold_0100,662.01,9.94,3.15,0.0,0.0
nomination_cold_0104,852.99,14.63,2.79,0.0,0.0
nomination_cold_0106,281.77,34.66,2.93,0.0,0.0
nomination_cold_0109,249.45,8.3,2.68,0.0,0.0
nomination_cold_0110,202.78,7.96,2.98,0.0,0.0
nomination_cold_0115,190.34,7.48,2.93,0.0,0.0
nomination_cold_0120,263.75,7.59,2.78,0.0,0.0
nomination_cold_0133,301.55,7.26,2.82,0.0,0.0
nomination_cold_0134,259.61,7.0,3.09,0.003177013458185486,0.0
nomination_cold_0141,115.31,15.85,2.85,0.0,0.0
nomination_cold_0159,857.26,22.82,2.77,0.0,0.0
nomination_cold_0161,296.72,7.11,3.02,0.0,0.0
nomination_cold_0184,157.06,7.96,3.28,0.0,0.0
nomination_cold_0190,662.64,12.15,3.24,0.0,0.0
nomination_cold_0207,169.86,10.55,3.17,0.0,0.0
nomination_cold_0218,176.78,9.53,2.93,0.0,0.0
nomination_cold_0234,300.42,8.02,2.72,0.0,0.0
nomination_cold_0245,259.23,6.72,2.67,0.0,0.0
nomination_cold_0249,204.85,9.05,3.22,0.0,0.0
nomination_cold_0258,151.21,7.13,2.94,0.0,0.0
nomination_cold_0260,172.11,7.87,3.01,0.0,0.0
nomination_cold_0264,154.13,7.74,3.35,0.0,0.0
nomination_cold_0266,208.54,7.84,2.84,0.0,0.0
nomination_cold_0267,137.99,7.96,2.84,0.0,0.0
nomination_cold_0278,145.91,12.6,3.1,0.0,0.0
nomination_cold_0290,271.95,23.38,2.66,0.0,0.0
nomination_cold_0295,454.91,10.28,3.31,0.0,0.0
nomination_cold_0296,262.71,41.62,2.71,0.0,0.0
nomination_cold_0304,193.75,32.97,3.31,0.0,0.0
nomination_cold_0308,768.77,6.79,2.43,0.0,0.0
nomination_cold_0314,118.96,53.25,2.76,0.0,0.0
nomination_cold_0317,277.97,7.29,3.15,0.0,0.0
nomination_cold_0319,229.55,10.44,2.97,0.0,0.0
nomination_cold_0322,217.82,8.11,2.7,0.0,0.0
nomination_cold_0334,252.7,27.24,3.25,0.0,0.0
nomination_cold_0338,261.87,7.76,3.36,0.0,0.0
nomination_cold_0339,162.57,14.77,3.1,0.0,0.0
nomination_cold_0345,526.77,27.39,2.86,0.0,0.0
nomination_cold_0348,735.9,6.94,2.96,0.0,0.0
nomination_cold_0352,216.67,6.64,2.97,0.0,0.0
nomination_cold_0360,347.42,8.08,2.81,0.0,0.0
nomination_cold_0364,303.4,7.65,2.89,0.0,0.0
nomination_cold_0366,312.14,7.53,2.78,0.0,0.0
nomination_cold_0369,119.8,14.05,2.79,0.0,0.0
nomination_cold_0370,323.46,12.8,3.18,0.0,0.0
nomination_cold_0375,328.74,7.62,2.75,0.0,0.0
nomination_cold_0378,181.13,1000.67,3.06,0.0,NaN
nomination_cold_0383,280.67,1000.74,2.85,0.0,NaN
nomination_cold_0389,369.46,10.84,3.31,0.0,0.0
nomination_cold_0396,733.44,9.22,2.71,0.0,0.0
nomination_cold_0397,158.81,6.79,3.03,0.0,0.0
nomination_cold_0422,246.8,10.24,2.78,0.0,0.0
nomination_cold_0435,969.09,26.07,2.71,0.0,0.0
nomination_cold_0437,296.12,8.68,2.67,0.0,0.0
nomination_cold_0444,325.93,26.08,2.99,0.0,0.0
nomination_cold_0449,226.19,8.17,3.12,0.0,0.0
nomination_cold_0450,263.42,7.56,3.06,0.0,0.0
nomination_cold_0453,318.4,8.29,3.04,0.0,0.0
nomination_cold_0475,374.5,247.07,2.69,0.0,0.00011184366726529417
nomination_cold_0480,194.47,9.95,2.77,0.0,0.0
nomination_cold_0484,192.08,736.0,2.73,0.0,0.0
nomination_cold_0488,821.91,56.04,2.58,0.0,0.0
nomination_cold_0490,277.75,8.53,3.13,0.0,0.0
nomination_cold_0501,265.38,27.9,2.87,0.0,0.0
nomination_cold_0503,915.77,11.77,2.94,0.0,0.0
nomination_cold_0506,409.21,36.35,3.29,0.0,0.0
nomination_cold_0523,811.89,7.17,2.8,0.0,0.0
nomination_cold_0527,238.93,6.67,2.96,0.0,0.0
nomination_cold_0555,276.45,8.9,3.21,0.0,0.0
nomination_cold_0559,265.23,35.4,2.74,0.0,0.0
nomination_cold_0566,179.44,43.33,2.78,0.0,0.0
nomination_cold_0572,149.68,7.96,2.91,0.0,0.0
nomination_cold_0582,130.45,25.32,3.08,0.0,0.0
nomination_cold_0590,386.26,10.3,2.82,0.0,0.0
nomination_cold_0595,427.32,20.65,2.72,0.0,0.0
nomination_cold_0602,241.06,16.45,2.65,0.0,0.00011632567821188041
nomination_cold_0607,153.28,9.54,3.0,0.0,0.0
nomination_cold_0608,823.26,9.23,2.56,0.0,0.0
nomination_cold_0615,112.44,8.91,3.03,0.0,0.0
nomination_cold_0618,314.67,24.71,2.76,0.0,0.0
nomination_cold_0634,196.78,11.75,3.05,0.0,0.0
nomination_cold_0638,192.4,11.3,2.87,0.0,0.0
nomination_cold_0645,179.16,7.04,3.17,0.0,0.0
nomination_cold_0647,255.32,10.86,3.06,0.0,0.0
nomination_cold_0663,996.22,10.89,3.27,0.0,0.0
nomination_cold_0675,443.78,14.05,3.09,0.0,0.0
nomination_cold_0677,262.87,38.62,3.58,0.0,0.0
nomination_cold_0678,260.54,14.27,3.08,0.0,0.0
nomination_cold_0687,241.72,41.15,2.73,0.0,0.0
nomination_cold_0690,360.6,11.48,2.75,0.0,0.0
