ideal,simple_cnga,full_cnga
9.431781219034655e-9,9.19229361134904e-9,9.217511989651304e-9
1.7527115712543622e-8,1.3606089525304689e-8,1.3981006149591769e-8
1.512283041706597e-8,1.410953671834165e-8,1.4215406185191908e-8
1.6859363564446215e-8,1.45674793988314e-8,1.4799543870190191e-8
1.724916049740261e-8,1.420438704434145e-8,1.450537402651589e-8
1.713257523578792e-8,1.4355716428631228e-8,1.4632695728539266e-8
1.7208320567124908e-8,1.4262603122759105e-8,1.4554730706798719e-8
1.7631154952535378e-8,1.3252984191673861e-8,1.3663455611247816e-8
3.6928064532807516e-9,3.639209338234919e-9,3.6435544262871845e-9
1.7504407702439873e-8,1.3671807728153304e-8,1.403958256464327e-8
2.352535684915135e-9,2.3224247879186134e-9,2.3279565931152894e-9
1.7423879400073135e-8,1.3876751224176962e-8,1.4221006457319245e-8
1.6462386256273917e-8,1.4650558832757586e-8,1.4836459914846422e-8
1.768326776332258e-8,1.3037589058727854e-8,1.3468028382304017e-8
1.7114781679598447e-8,1.4374894469979446e-8,1.4648508653561022e-8
1.7670595789131323e-8,1.3092604218477861e-8,1.3518076162119075e-8
6.608371580309266e-6,4.978682005076845e-6,5.131615298612154e-6
6.351558947871105e-6,5.441845489360097e-6,5.533547210247959e-6
6.536418565147523e-6,5.1935599892681886e-6,5.323617874068937e-6
5.990206983046619e-6,5.452913633134508e-6,5.50849660230915e-6
6.566428535639016e-6,5.1161069522594045e-6,5.254984587108305e-6
6.4155535889242e-6,5.38859909368149e-6,5.49110365831557e-6
6.209628749804296e-6,5.4889810702777e-6,5.562666858989048e-6
6.494629024106347e-6,5.279078228984496e-6,5.398316412009183e-6
6.536728284152551e-6,5.192835388951297e-6,5.322979425503867e-6
4.815248469404935e-6,4.6198618584366115e-6,4.640381849102334e-6
6.397535050820172e-6,5.406257984089499e-6,5.505506423962316e-6
6.0460636608865965e-6,5.470478857582778e-6,5.529888694731547e-6
5.334743142699002e-6,5.049366057491959e-6,5.079245946778642e-6
6.485557513474522e-6,5.294762550378774e-6,5.411851223321886e-6
6.559127543475419e-6,5.136370048703468e-6,5.273013347493884e-6
6.639614397150793e-6,4.847762610065833e-6,5.012658295914008e-6
6.026794360608744e-6,5.464939750801554e-6,5.5229800686853416e-6
6.559884986523404e-6,5.134312536752845e-6,5.271184915296522e-6
6.531040645179746e-6,5.2059100720280085e-6,5.334484953833077e-6
5.923909409173534e-6,5.426680512450424e-6,5.478233825168135e-6
1.1415517056696387e-6,9.371273733041212e-7,9.572960600950854e-7
8.286085775308943e-7,7.968209138842366e-7,8.001610372992452e-7
1.0913850057896968e-6,9.68368392487059e-7,9.809709157952562e-7
1.1622067630140704e-6,8.885964606396598e-7,9.145139918169613e-7
1.1519061759566729e-6,9.173918951634454e-7,9.401440949976876e-7
1.1569181945206117e-6,9.047563797211014e-7,9.289649411269454e-7
1.000012767824603e-6,9.327932374466704e-7,9.398049354391845e-7
2.3087024956090596e-7,2.2746041471927321e-7,2.2781926876574037e-7
1.5879820730641539e-7,1.5665966647664358e-7,1.5688496236730476e-7
1.0922148946170302e-6,9.68342598774209e-7,9.810287093140937e-7
1.147343493628586e-6,9.270257250281412e-7,9.485746355663552e-7
1.147715297614965e-6,9.263001119386149e-7,9.479428744926757e-7
1.0677176741574163e-6,9.65333568688075e-7,9.75901520482849e-7
1.1701258817506584e-6,8.573874867548196e-7,8.862433611939061e-7
1.106802597000018e-6,9.65963003463778e-7,9.802879992367687e-7
1.1532110749755996e-6,9.143245488398511e-7,9.374418596812154e-7
1.1149582247345734e-6,9.62709505267621e-7,9.781191081426809e-7
1.15254565063467e-6,9.15907199235993e-7,9.388371368669961e-7
1.1683837854681206e-6,8.651022959765853e-7,8.932697172387813e-7
4.38489007129013e-7,4.300575703679705e-7,4.3094722329887374e-7
0.0006366574120088759,0.0005270464374549197,0.0005378429801571448
0.0005991585922056729,0.0005383446263777905,0.0005445758521064313
0.0006091972819641779,0.0005396969636703016,0.000546775072858609
0.000652872063063663,0.0004931276860075492,0.0005080536575058972
0.0006510454781431339,0.0004989024906146756,0.0005132430784982334
0.00048438735240996137,0.00046272982963418703,0.00046499707187717466
